id	name	c_10	h_index	Q	paper	citations	IndexBestPaper	TitleBestPaper	JournalBestPaper	YearBestPaper
48	Eric Varoquaux	6.47	8	1.99	23	4 6 24 3 3 2 3 1 2 21 0 16 3 1 10 6 1 1 19 6 7 1	3	Field Splitting of the New Sound Attenuation Peak in ^{3}He-B	PRL	1980
64	Gerald B. Arnold	6.7	10	1.67	31	1 0 4 34 1 20 2 2 9 1 2 3 6 1 8 6 1 0 10 2 1 0 8 3 19 0 0 31 1 20	4	Theory of thin proximity-effect sandwiches	PRB	1978
378	Herbert H. Chen	7.64	17	1.94	74	2 5 7 3 1 0 4 5 5 12 4 32 12 4 13 2 4 3 0 5 7 3 2 1 17 12 5 9 2 3 11 4 1 9 0 18 1 11 6 19 20 11 13 3 6 5 3 6 2 2 2 0 0 2 3 12 23 6 7 6 13 43 0 26 15 6 4 1 3 35 9 0 2	79	Quantum Interference Effects in Spontaneous Emission from an Atom Embedded in a Photonic Band Gap Structure	PRL	1997
476	Jagdeep Shah	21.7	28	4.42	84	0 6 8 8 5 7 4 2 0 1 7 0 2 6 4 6 4 3 16 10 13 15 22 16 35 11 2 5 4 15 12 79 18 74 2 12 33 54 7 4 44 60 83 64 19 25 69 87 21 34 58 49 69 36 75 37 62 25 6 13 10 22 0 27 9 2 52 3 5 8 0 50 7 25 4 5 10 52 25 18 7 2 28	48	Initial thermalization of photoexcited carriers in GaAs studied by femtosecond luminescence spectroscopy	PRL	1991
485	John B. Delos	15.7	20	3.95	45	13 6 16 16 11 6 14 2 0 6 21 32 41 4 13 16 7 7 21 1 4 40 2 18 0 59 34 29 42 39 7 13 19 46 13 27 8 11 8 7 6 8 4 3	26	Effect of closed classical orbits on quantum spectra: Ionization of atoms in a magnetic field. II. Derivation of formulas	PRA	1988
537	Peter W. Langhoff	10.1	8	2.74	13	20 15 4 8 3 22 14 17 0 6 1 15	6	Aspects of Time-Dependent Perturbation Theory	RMP	1972
552	Tomohiro Inagaki	3.5	7	1.41	20	7 7 7 0 4 6 1 2 3 2 6 7 3 17 0 5 0 0 0	14	Search for K_{L}^{0}→μe and K_{L}^{0}→ee decays	PRD	1989
614	Leroy T. Kerth	15.2	10	3.31	19	4 0 5 10 19 24 33 7 1 25 28 29 7 1 29 50 1 9	16	Experimental Limits on the Decays K_{L}^{0}→μ^{+}μ^{-},e^{+}e^{-}, and μ^{±}e^{∓}	PRL	1971
650	M. Schlesinger	2.59	5	1.22	32	6 2 5 3 0 3 2 1 2 0 4 1 1 9 1 3 5 2 4 3 2 1 3 0 5 4 0 5 3 2 0	14	Vector-coupling approach to orbital and spin-dependent tableau matrix elements in the theory of complex spectra	PRA	1977
670	Lorenzo M. Narducci	10.6	17	2.92	57	7 1 1 3 19 2 4 5 3 20 5 2 0 30 9 14 8 28 11 10 11 3 3 4 10 4 4 1 5 2 11 11 5 8 7 22 8 15 14 10 3 2 12 1 4 6 17 9 24 49 26 1 16 42 8 27	50	Spontaneous emission and absorption properties of a driven three-level system	PRA	1990
815	Victor Perez Mendez	8.73	13	2.24	42	0 9 6 15 0 5 9 13 0 3 5 2 13 2 8 13 12 20 30 15 16 5 4 6 22 0 6 35 1 36 10 10 0 4 1 29 8 2 9 7 6	30	Elastic Scattering of Negative Pions on Protons in the Energy Range 500-1000 MeV	PR	1964
1242	S. R. Hartmann	10.2	18	2.69	62	21 37 16 30 74 4 7 6 1 12 2 7 1 9 14 2 12 3 5 3 9 6 20 9 15 21 4 30 14 10 9 9 2 13 0 9 15 2 1 23 3 2 10 4 3 0 20 28 8 5 2 7 11 17 2 5 5 2 11 4 1	5	Photon Echoes	PR	1966
1259	Piet Van Isacker	5.5	11	1.76	44	12 2 2 1 8 21 21 0 5 1 15 4 10 2 8 10 1 0 1 4 2 4 0 0 5 2 5 4 14 6 10 5 6 2 2 5 5 1 3 11 4 0 14	6	Interpretation of the A≈100 transitional region in the framework of the interacting boson model	PRC	1982
1294	Thomas Timusk	21.0	25	4.21	75	14 9 29 19 10 3 21 1 4 6 5 1 4 4 0 5 2 0 2 8 9 2 2 6 51 32 40 53 28 7 16 41 26 5 33 6 2 125 19 24 9 4 18 14 10 1 21 7 135 1 3 18 28 14 20 16 70 20 72 139 16 16 11 6 28 2 13 8 21 15 36 61 5 2	60	In-Plane Anisotropy of the Penetration Depth in YBa_{2}Cu_{3}O_{7-x} and YBa_{2}Cu_{4}O_{8} Superconductors	PRL	1995
1297	Hartland S. Snyder	5.32	11	1.33	34	15 0 0 11 0 2 0 0 11 5 0 1 0 7 1 0 0 50 12 2 9 3 9 1 1 4 4 0 13 5 12 0 1	18	Multiple Scattering of Fast Charged Particles	PR	1949
1321	Robert W. Hellwarth	6.65	9	2.01	26	1 25 4 28 14 8 16 9 9 3 3 9 1 2 4 5 2 2 1 0 0 5 3 4 7	4	Stimulated Raman Scattering From Organic Liquids	PRL	1962
